,F8_chi2,F11_chi2,F18_chi2,F19_chi2,F20_chi2,F21_chi2,F22_chi2,F23_chi2,F24_chi2,F25_chi2,F26_chi2,F27_chi2,F28_chi2,F29_chi2,F30_chi2,F31_chi2,F32_chi2,F33_chi2,F34_chi2,F35_chi2,T1_chi2,T4_chi2,F47_chi2,F46_chi2,F10_chi2,F15_chi2,T2_chi2,F14_chi2,F16_chi2,F9_MW,F12_MW,F17_MW,F36_MW,F37_MW,F38_MW,F39_MW,F40_MW,F41_MW,F42_MW,F43_MW,F44_MW,F45_MW
statistics,22.497436201049794,71.41650983090443,3.2876141348536763,0.49076782616683423,2.8157215668514577,9.022952166799673,17.64647049022899,5.351121094148734,0.03918877914413644,11.441213462894282,8.428508548045999,2.7346485427363696,8.617462022126025,0.886544967815782,7.625160167837514,2.3171387604258755,0.008483255876174193,0.7988387282425292,7.099179091216904,0.46427463969646715,18.62582896926724,17.029311283747184,0.0,4.1413728961899645,53.3697768751791,13.812041651752265,27.188794230546904,2852.0000000000005,2.521628537182903,768940.0,847720.5,885714.5,848712.0,902485.0,969189.5,967369.5,1006582.5,982322.5,840933.0,854398.5,907203.0,842068.5
p_value,2.1042425566282468e-06,5.196741751469711e-14,0.06980438567573427,0.4835849945932209,0.09334491377320493,0.0026661044643604952,2.660084580078795e-05,0.02070895104880118,0.8430751393595965,0.0007183286481335478,0.0036938320010196524,0.09819310157662417,0.003329554445398569,0.34641530937742293,0.00575595575835539,0.12795519692471571,0.9266149400374659,0.37144079762054005,0.007711926463730362,0.4956329614518904,0.0003266832630086945,3.680721730033972e-05,1.0,0.8441482509300324,7.130877553649099e-11,0.0031724873109872905,1.2474649383167122e-06,0.0,0.4713950002448749,1.2004240921812518e-12,0.0008645556448705641,0.12826856407013987,0.001022050667046446,0.47618701062779356,0.011634619850810482,0.01514112665716848,1.902155607575786e-05,0.0018093838152540402,0.00025464595515557845,0.0025401893563490132,0.6294305410987026,0.0002690077291601424
corrected p_value,1.4729697896397728e-05,1.0913157678086394e-12,0.10858459994003108,0.5626103886751188,0.1400173706598074,0.006220910416841156,0.00013965444045413675,0.03345292092498652,0.886355663476534,0.0023207540939699234,0.007387664002039305,0.14221069883511087,0.006992064335336995,0.45467009355786764,0.010988642811405745,0.17378321583696368,0.9492153044286237,0.4727428333352328,0.014082648325072835,0.5626103886751188,0.001143391420530431,0.00017176701406825204,1.0,0.886355663476534,7.487421431331554e-10,0.006992064335336995,1.0478705481860383e-05,0.0,0.5626103886751188,1.6805937290537524e-11,0.0025936669346116924,0.17378321583696368,0.0028617418677300485,0.5626103886751188,0.020360584738918344,0.025437092784043047,0.00011412933645454717,0.004749632515041856,0.0010271204204296345,0.006220910416841156,0.6956863875301449,0.0010271204204296345
