,F8_chi2,F11_chi2,F18_chi2,F19_chi2,F20_chi2,F21_chi2,F22_chi2,F23_chi2,F24_chi2,F25_chi2,F26_chi2,F27_chi2,F28_chi2,F29_chi2,F30_chi2,F31_chi2,F32_chi2,F33_chi2,F34_chi2,F35_chi2,T1_chi2,T4_chi2,F47_chi2,F46_chi2,F10_chi2,F15_chi2,T2_chi2,F14_chi2,F16_chi2,F9_MW,F12_MW,F17_MW,F36_MW,F37_MW,F38_MW,F39_MW,F40_MW,F41_MW,F42_MW,F43_MW,F44_MW,F45_MW
statistics,18.338429519334966,29.405930258328763,9.43152780901138,0.00019513619275996223,11.668263794311198,4.744097519169303,21.644799394334214,3.973482509206212,1.2945819048374736,0.17892815795596856,4.104092615550319,0.0,0.0222220563349469,0.2724443280934377,4.501995034723999,10.967115289703568,0.025912337293978897,0.0,2.0869318316562797,0.2960406698536236,419.88664968475007,114.69321755673019,0.0,13.522187559212975,19.715359394787697,1.9728860372822092,2353.5651423572604,64.2125086611975,20.60218163104525,727933.0,642784.5,706001.5,413052.0,619548.0,585310.5,693209.0,607161.0,558711.0,613247.5,493115.5,747091.5,596775.5
p_value,1.8493872429671783e-05,1.9300428709415127e-05,0.0021328652621408306,0.9888546207533128,0.0006357531275082347,0.02939897007002399,3.280983684238686e-06,0.04622208401236793,0.2552052778564752,0.6722959872497194,0.04277954120564397,1.0,0.8814978912316618,0.6016967895954123,0.03385533261119063,0.0009274302019424133,0.8721145913905881,1.0,0.14856417650487103,0.586375278434512,1.089705761331075e-90,9.1864573252227e-27,1.0,0.0951013825876869,0.0005683307163587986,0.5780533383546018,0.0,1.6323260919450474e-12,0.000127324919558409,3.82236948756128e-06,0.4897243430679604,0.0010763930928153428,6.161033289851304e-51,0.03170955128238295,1.5642059436576656e-05,0.013464256944114189,0.0036071300302769663,2.873913352273907e-09,0.011332739620597653,1.0202582840526058e-23,6.256331563531499e-09,0.0003248746415333577
corrected p_value,6.235523121503348e-05,6.235523121503348e-05,0.004479017050495745,1.0,0.0015706841973732858,0.051448197622541984,1.531125719311387e-05,0.0693331260185519,0.3457619893539341,0.784345318458006,0.06654595298655729,1.0,0.9742871429402578,0.7220361475144947,0.0546893834488464,0.002164003804532298,0.9742871429402578,1.0,0.20798984710681942,0.7220361475144947,2.2883820987952576e-89,9.645780191483836e-26,1.0,0.13773303685113275,0.0014918681304418465,0.7220361475144947,0.0,1.1426282643615333e-11,0.000381974758675227,1.6053951847757376e-05,0.6427632002766981,0.0023793952578023366,8.625446605791826e-50,0.05327204615440336,5.972422693965632e-05,0.02458690398490417,0.007214260060553933,1.7243480113643444e-08,0.021635230184777338,8.570169586041888e-23,3.284574070854037e-08,0.0009096489962934015
