,F8_chi2,F11_chi2,F18_chi2,F19_chi2,F20_chi2,F21_chi2,F22_chi2,F23_chi2,F24_chi2,F25_chi2,F26_chi2,F27_chi2,F28_chi2,F29_chi2,F30_chi2,F31_chi2,F32_chi2,F33_chi2,F34_chi2,F35_chi2,T1_chi2,T4_chi2,F14_chi2,F47_chi2,F15_chi2,F13_chi2,T2_chi2,F16_chi2,F10_chi2,F46_chi2,F9_MW,F12_MW,F17_MW,F36_MW,F37_MW,F38_MW,F39_MW,F40_MW,F41_MW,F42_MW,F43_MW,F44_MW,F45_MW
statistics,10.624656392900707,2.9398066701837395,1.1922443207088531,1.1156664562685783,29.108816892239176,8.217855578345459,0.20375419238336084,0.9204131098596541,1.272339387301296,0.8830197369833811,0.0,0.5292333503494303,0.1662019133993625,4.462229281589332,0.028361904213585924,0.08423992309242297,0.04441402215853414,0.0,1.2018565740929843,2.7118157329264867,0.7054909237458109,0.1344434848677334,19.217567571627203,0.0,4.684858173526081,2981.4164192886956,69.36615094161165,6.280417378726289,15.946689725549794,11.115294399363858,477526.5,868125.5,930157.0,1040141.5,1018300.5,994236.5,878305.0,1001912.0,984288.5,842310.0,1063576.5,897527.0,923664.0
p_value,0.0011158970140199942,0.7092655198701203,0.2748773172490535,0.2908534952160908,6.842487668435628e-08,0.00414801888352757,0.6517074833748211,0.3373665264865621,0.25932827081283605,0.34737592965959196,1.0,0.4669293533239388,0.6835095852684624,0.03465224585298323,0.8662607973883814,0.7716317599932656,0.8330852081661718,1.0,0.2729509244808325,0.09960755871766516,0.871911674675494,0.7138686496439111,0.001750756276363305,1.0,0.19638225107322377,0.0,8.656288206272706e-16,0.09873640136816869,0.003091538666109595,0.19525165545423587,1.485948560715712e-104,0.00015795844433941258,0.34700217773202013,3.974594204841417e-05,0.0018020065117730247,0.042814374460099745,0.0008411833215752263,0.018518418774637384,0.12121691163669522,6.93898477794075e-07,2.0560893005712793e-07,0.015094595042037674,0.21346145199430666
corrected p_value,0.004798357160285975,0.852676442630227,0.4377675793225667,0.4466678676532822,7.3556742435683e-07,0.012740343713691822,0.8491945995490092,0.481844031463305,0.4377675793225667,0.481844031463305,1.0,0.6274363185290428,0.852676442630227,0.08764979833401641,0.9373050502761561,0.8967612345867682,0.9373050502761561,1.0,0.4377675793225667,0.2141562512429801,0.9373050502761561,0.852676442630227,0.006457190000520005,1.0,0.36714942591950533,0.0,1.2407346428990879e-14,0.2141562512429801,0.010225858664824046,0.36714942591950533,3.194789405538781e-103,0.0008490266383243426,0.481844031463305,0.000244153644011687,0.006457190000520005,0.1022787834324605,0.004018986980859414,0.04976825045683797,0.24820605716085212,4.972939090857537e-06,1.7682367984913002e-06,0.04327117245384133,0.3824517681564661
