,F8_chi2,F11_chi2,F18_chi2,F19_chi2,F20_chi2,F21_chi2,F22_chi2,F23_chi2,F24_chi2,F25_chi2,F26_chi2,F27_chi2,F28_chi2,F29_chi2,F30_chi2,F31_chi2,F32_chi2,F33_chi2,F34_chi2,F35_chi2,T1_chi2,T4_chi2,F16_chi2,T2_chi2,F14_chi2,F47_chi2,F15_chi2,F46_chi2,F10_chi2,F9_MW,F12_MW,F17_MW,F36_MW,F37_MW,F38_MW,F39_MW,F40_MW,F41_MW,F42_MW,F43_MW,F44_MW,F45_MW
statistics,0.706468795132814,5.724694122534994,0.49184903906607313,4.999120296629431,110.21501675885622,5.791617299341967,2.142721214961443,0.8707997897714829,0.3939431953132306,0.04315898911237227,3.6060730869788578,3.6854062786829163,0.0,5.251540069370359,2.129483534585912,1.0969970753556892,0.2177343400009002,0.12735857916675675,0.19927114443971172,9.538675559751937,52.45739266414755,14.077729426921877,4.7254975097985215,99.97984553699382,132.382898096018,0.0,63.878976581195275,12.96733910321851,19.25109539455728,0.0,637369.0,961215.5,1019412.0,843370.5,892808.0,923579.0,1072591.0,915789.5,603190.0,1036350.0,899969.0,807907.0
p_value,0.4006185846884869,0.3339355810411621,0.4831036478951718,0.025360205318650415,8.791805379355664e-26,0.016102768345633903,0.14324759654751026,0.35073398817086987,0.5302339392786743,0.8354261921775165,0.05756890432911715,0.054890597244612045,1.0,0.021927355500516246,0.14448943254393948,0.2949260664846086,0.6407716866466644,0.7211866305542141,0.6553098014975217,0.0020118686843970117,2.3928727989099137e-11,0.00017540843936192228,0.19303697268101758,1.948284569334929e-22,7.426593234563973e-27,1.0,8.712069452332547e-14,0.11297832134820891,0.0007015022606604988,0.0,6.488774586681297e-33,0.0001003979790313251,1.9551042781424284e-11,0.057455158798600685,0.5941485085421114,0.040043252546957266,1.3560479406120218e-20,0.09894671841149888,2.889349341880622e-42,4.253464572562276e-14,0.38176291736663215,0.0002492110184770036
corrected p_value,0.5098781986944378,0.46750981345762693,0.5967750944587417,0.05605940123070092,7.385116518658759e-25,0.039783310030389644,0.22476133951279473,0.4751879839734366,0.6362807271344092,0.8771975017863923,0.1051258252966487,0.1051258252966487,1.0,0.05116382950120458,0.22476133951279473,0.4271343031846056,0.724289780602524,0.7766625252122304,0.724289780602524,0.005281155296542156,9.13642341401967e-11,0.0005667041887077489,0.2895554590215264,1.3637991985344503e-21,7.797922896292172e-26,1.0,4.065632411088522e-13,0.18980357986499097,0.0019642063298493965,0.0,9.084284421353816e-32,0.00035139292660963783,8.2114379681982e-11,0.1051258252966487,0.6931732599657967,0.08409083034861026,8.136287643672132e-20,0.17315675722012305,6.067633617949306e-41,2.233068900595195e-13,0.5010638290437047,0.0007476330554310108
