,F8_chi2,F11_chi2,F18_chi2,F19_chi2,F20_chi2,F21_chi2,F22_chi2,F23_chi2,F24_chi2,F25_chi2,F26_chi2,F27_chi2,F28_chi2,F29_chi2,F30_chi2,F31_chi2,F32_chi2,F33_chi2,F34_chi2,F35_chi2,T1_chi2,T4_chi2,F14_chi2,F10_chi2,F16_chi2,F46_chi2,T2_chi2,F15_chi2,F47_chi2,F9_MW,F12_MW,F17_MW,F36_MW,F37_MW,F38_MW,F39_MW,F40_MW,F41_MW,F42_MW,F43_MW,F44_MW,F45_MW
statistics,0.654819971105306,6.702783901935011,20.467933311433942,19.166409351433312,18.0818958187103,49.417356289707776,11.732892068851587,17.994482882909406,43.27646484485546,17.180022650412976,6.267828598687323,9.10440809858914,7.903614053310314,13.703573626186454,7.41225863918495,1.2338554542791738,1.5644979217479875,4.847528277318123,0.23138743727164285,0.05279222424919362,7.933915291417763,8.964339303247712,125.97045680455703,84.63715315372396,16.438018078615613,7.361649836180001,6.816607043487955,33.63436482697011,0.0,0.0,198495.5,356343.5,284002.0,261740.0,283150.0,281211.5,313975.0,272358.0,188021.5,311571.5,275734.0,237958.0
p_value,0.4183946669670131,0.24369947724139665,6.0638705886085814e-06,1.1980313737309172e-05,2.1160387584679948e-05,2.0690695472822213e-12,0.0006140509508670187,2.2154613250415853e-05,4.752658196655369e-11,3.399930627977594e-05,0.012294972628660111,0.002549942192182189,0.0049336127188496035,0.00021404680073455504,0.006478094508708607,0.2666585521936131,0.21100785143734238,0.02768577817975033,0.6304969676114172,0.8182739281453284,0.04739740472037545,0.0027530023748679926,1.7036713731537312e-25,1.8111311001228157e-17,0.0009220220306352849,0.49816268398786956,0.03309730162769931,2.3664772168733196e-07,1.0,2.578418928860193e-156,1.828736720011096e-14,9.222931924429711e-14,0.6173268344633542,0.10263330595215148,0.6724498718722833,0.8141853943763113,0.0007790915497266804,0.5401226821244137,4.553063486603887e-18,0.0017032807236103795,0.7721712563466034,8.314350344901423e-05
corrected p_value,0.5325023034125621,0.33017348529479545,2.5468256472156044e-05,4.5743016087907745e-05,7.157644280903584e-05,1.2414417283693328e-11,0.0015170670550832227,7.157644280903584e-05,2.4951455532440687e-10,0.00010199791883932782,0.020655554016148988,0.005099884384364378,0.009009205834421014,0.0005618728519282071,0.011336665390240062,0.3499893497541172,0.2954109920122793,0.04472318013651976,0.7156992605318789,0.8382318288317998,0.07109610708056319,0.005255731806566168,3.5777098836228355e-24,1.9016876551289566e-16,0.0020381539624569453,0.615377433161486,0.05148469142086559,1.1043560345408826e-06,1.0,1.082935950121281e-154,1.5361388448093206e-13,6.456052347100798e-13,0.7156992605318789,0.14864133965484008,0.743234068911471,0.8382318288317998,0.0018178802826955877,0.6481472185492965,6.374288881245442e-17,0.003576889519581797,0.8315690452963421,0.00023280180965723986
