,F8_chi2,F11_chi2,F18_chi2,F19_chi2,F20_chi2,F21_chi2,F22_chi2,F23_chi2,F24_chi2,F25_chi2,F26_chi2,F27_chi2,F28_chi2,F29_chi2,F30_chi2,F31_chi2,F32_chi2,F33_chi2,F34_chi2,F35_chi2,T1_chi2,T4_chi2,F14_chi2,F47_chi2,F15_chi2,F13_chi2,T2_chi2,F16_chi2,F10_chi2,F46_chi2,F9_MW,F12_MW,F17_MW,F36_MW,F37_MW,F38_MW,F39_MW,F40_MW,F41_MW,F42_MW,F43_MW,F44_MW,F45_MW
statistics,0.2775445500070499,3.0504308746394955,34.5412068872265,11.643326206346131,31.292731815285368,53.74401672719297,23.620404695687412,17.727102822181035,48.96377618053671,12.44369837562933,17.534711325731724,2.9933472864116877,11.430897858450553,0.3411228365279846,12.115644064848556,4.37027923659652,0.5255279323506228,3.106073542540133,0.007100271402123536,9.223797543577346,49.422801503499414,29.077160907739042,66.19820974693015,0.0,55.37794173783702,2178.0816313526166,103.25338231043308,25.6966092209464,41.7848666202217,12.130280161535872,201325.0,245732.5,196002.5,315177.5,284114.0,270167.5,246189.0,290993.5,283070.5,246094.5,297155.0,251861.0,268181.5
p_value,0.5983151404903203,0.6922109316972325,4.173224825489662e-09,0.0006443328490580955,2.219088618500531e-08,2.2838868256653897e-13,1.1733667528012054e-06,2.5496790280372096e-05,2.6073352481149537e-12,0.0004194044684319709,2.8211002672811904e-05,0.08360718198540264,0.000722327720459474,0.5591818153656744,0.0005000056527289875,0.03657099854879237,0.46849310179111103,0.07800079107470677,0.9328472434478989,0.002388895341711743,1.0602632284461703e-10,6.955211128294076e-08,6.322056934651953e-13,1.0,5.702711758475324e-12,0.0,3.791516168839418e-23,1.103924788639817e-05,1.848525880314145e-08,0.14548507690645154,4.140847190924688e-09,0.1846553102312838,1.049944351007227e-10,7.1752440095522045e-09,0.008830874423678236,0.23210588798502474,0.19468972341585344,0.0009382819100738363,0.012377902881570998,0.19706895695249904,7.842843637031415e-05,0.4846876373420732,0.3246910439646018
corrected p_value,0.6431887760270943,0.7259773186092926,1.7944866749605547e-08,0.0012593778413408229,7.340062353501757e-08,3.2735711167870586e-12,3.3636513580301222e-06,6.449188129741177e-05,2.24230831337886e-11,0.0009017196071287374,6.73929508294951e-05,0.11983696084574377,0.001350438781728582,0.6165337964288204,0.0010238210984450697,0.05616260491421685,0.5444649561356155,0.11565634538663418,0.9550578921014203,0.004108899987744197,5.698914852898166e-10,2.1362434179760376e-07,6.79621120475085e-12,1.0,4.086943426907316e-11,0.0,8.151759763004749e-22,2.966797869469508e-05,6.62388440445902e-08,0.20180188087023926,1.7944866749605547e-08,0.2481305731232876,5.698914852898166e-10,2.8048681128249526e-08,0.014604907700698621,0.2851586623816018,0.2492342690869841,0.0016810884222156234,0.019712956441020477,0.2492342690869841,0.00017749593494334256,0.5484623264660302,0.38782541362438544
